"season","character","count","prop","logprop"
1,"beverly",7730,0.079295877229876,-2.53456914122782
1,"data",12747,0.130761260937805,-2.03438205402637
1,"geordi",5740,0.058882061487644,-2.83221879349567
1,"picard",34555,0.35447206179539,-1.03712574628379
1,"riker",16302,0.167229157904455,-1.78839020415488
1,"troi",6394,0.0655909235456439,-2.7243179531895
1,"worf",3971,0.040735307694675,-3.20066005167803
2,"data",13979,0.165242266274218,-1.80034260150152
2,"geordi",7133,0.0843174107828883,-2.47316690169461
2,"picard",24066,0.284478172984858,-1.25709874897454
2,"riker",16046,0.189675756823528,-1.66243920765905
2,"troi",6193,0.0732059056467723,-2.61447918303459
2,"worf",5253,0.0620944005106564,-2.77909946301869
3,"beverly",6574,0.0718477797571558,-2.63320556801798
3,"data",13778,0.150580880665362,-1.893254926089
3,"geordi",10993,0.120143389545241,-2.11906933666328
3,"picard",30218,0.330254975464213,-1.10789026994236
3,"riker",13460,0.147105432846261,-1.91660571904342
3,"troi",6575,0.071858708838348,-2.63305346519618
3,"worf",5241,0.0572793145280276,-2.85981572343998
4,"beverly",10189,0.118985893124066,-2.12875033807356
4,"data",15840,0.184977578475336,-1.68752065867943
4,"geordi",9039,0.105556334080717,-2.24851049624943
4,"picard",26566,0.310234491778774,-1.1704268423554
4,"riker",9919,0.115832866218236,-2.15560693530185
4,"troi",5930,0.0692498131539611,-2.67003483205607
4,"worf",6189,0.0722743834080718,-2.62728552230848
5,"beverly",7920,0.0863008324979296,-2.44991603438158
5,"data",13954,0.152050734428802,-1.88354103469087
5,"geordi",12279,0.13379898008107,-2.01141675402954
5,"picard",27259,0.297029595083468,-1.21392349839816
5,"riker",13642,0.148651004663732,-1.90615397097539
5,"troi",7484,0.0815499280826396,-2.50653983179607
5,"worf",6958,0.075818332388964,-2.57941516347816
6,"beverly",9886,0.114083271787297,-2.17082664296499
6,"data",12509,0.14435238183161,-1.93549787261715
6,"geordi",12003,0.138513201624815,-1.97678963930655
6,"picard",23105,0.26662896971935,-1.32189721352753
6,"riker",14193,0.163785542836041,-1.80919737253263
6,"troi",7401,0.0854066654357459,-2.46033113163443
6,"worf",7559,0.0872299667651403,-2.43920735153972
7,"beverly",11072,0.104457757441389,-2.2589725243129
7,"data",20023,0.188905137034766,-1.6665103103777
7,"geordi",12279,0.115845087032407,-2.15550143700984
7,"picard",28862,0.272295863012406,-1.30086607217433
7,"riker",12185,0.114958252747771,-2.16318623611105
7,"troi",10697,0.100919854710128,-2.29342859486422
7,"worf",9151,0.0863342610500495,-2.44952876025497
