Skill,Hand,Limit,Cash
Expert,Bad,Fixed,4
Expert,Bad,Fixed,5.55
Expert,Bad,Fixed,9.45
Expert,Bad,Fixed,7.19
Expert,Bad,Fixed,5.71
Expert,Bad,Fixed,5.32
Expert,Bad,Fixed,8.52
Expert,Bad,Fixed,4.06
Expert,Bad,Fixed,4.97
Expert,Bad,Fixed,6.18
Expert,Bad,Fixed,6.55
Expert,Bad,Fixed,9.73
Expert,Bad,Fixed,10.8
Expert,Bad,Fixed,2.07
Expert,Bad,Fixed,8.69
Expert,Bad,Fixed,8.47
Expert,Bad,Fixed,7
Expert,Bad,Fixed,10.67
Expert,Bad,Fixed,11.04
Expert,Bad,Fixed,10.41
Expert,Bad,Fixed,10.05
Expert,Bad,Fixed,2.92
Expert,Bad,Fixed,8.39
Expert,Bad,Fixed,8.36
Expert,Bad,Fixed,7.13
Expert,Bad,None,5.52
Expert,Bad,None,8.28
Expert,Bad,None,0.27
Expert,Bad,None,11.49
Expert,Bad,None,-4.68
Expert,Bad,None,12.22
Expert,Bad,None,6.24
Expert,Bad,None,5.1
Expert,Bad,None,3.76
Expert,Bad,None,1
Expert,Bad,None,9.52
Expert,Bad,None,6.42
Expert,Bad,None,6.81
Expert,Bad,None,8.09
Expert,Bad,None,1.56
Expert,Bad,None,3.82
Expert,Bad,None,5.77
Expert,Bad,None,3.14
Expert,Bad,None,12.01
Expert,Bad,None,11.66
Expert,Bad,None,12.06
Expert,Bad,None,9.45
Expert,Bad,None,10.34
Expert,Bad,None,5.7
Expert,Bad,None,16.68
Expert,Neutral,Fixed,11.74
Expert,Neutral,Fixed,10.04
Expert,Neutral,Fixed,9.49
Expert,Neutral,Fixed,8.33
Expert,Neutral,Fixed,6.2
Expert,Neutral,Fixed,11.45
Expert,Neutral,Fixed,11.99
Expert,Neutral,Fixed,9.37
Expert,Neutral,Fixed,13.08
Expert,Neutral,Fixed,15.3
Expert,Neutral,Fixed,10.73
Expert,Neutral,Fixed,13.35
Expert,Neutral,Fixed,7.79
Expert,Neutral,Fixed,12.29
Expert,Neutral,Fixed,11.56
Expert,Neutral,Fixed,9.51
Expert,Neutral,Fixed,8.85
Expert,Neutral,Fixed,6.06
Expert,Neutral,Fixed,6.76
Expert,Neutral,Fixed,9.28
Expert,Neutral,Fixed,9.24
Expert,Neutral,Fixed,6.17
Expert,Neutral,Fixed,10.8
Expert,Neutral,Fixed,5.68
Expert,Neutral,Fixed,11.19
Expert,Neutral,None,21.55
Expert,Neutral,None,3.12
Expert,Neutral,None,7.64
Expert,Neutral,None,18.73
Expert,Neutral,None,14.15
Expert,Neutral,None,9.1
Expert,Neutral,None,7.61
Expert,Neutral,None,9.15
Expert,Neutral,None,14.53
Expert,Neutral,None,11.14
Expert,Neutral,None,8.38
Expert,Neutral,None,20.89
Expert,Neutral,None,6.94
Expert,Neutral,None,25.63
Expert,Neutral,None,13.29
Expert,Neutral,None,12.21
Expert,Neutral,None,13.5
Expert,Neutral,None,14.91
Expert,Neutral,None,16.76
Expert,Neutral,None,0.39
Expert,Neutral,None,8.21
Expert,Neutral,None,8.31
Expert,Neutral,None,8.67
Expert,Neutral,None,11.71
Expert,Neutral,None,9.7
Expert,Good,Fixed,10.86
Expert,Good,Fixed,8.68
Expert,Good,Fixed,14.36
Expert,Good,Fixed,9.66
Expert,Good,Fixed,10.08
Expert,Good,Fixed,12.37
Expert,Good,Fixed,6.24
Expert,Good,Fixed,13.45
Expert,Good,Fixed,14.8
Expert,Good,Fixed,10.45
Expert,Good,Fixed,14.28
Expert,Good,Fixed,15.84
Expert,Good,Fixed,14.12
Expert,Good,Fixed,11.29
Expert,Good,Fixed,11.09
Expert,Good,Fixed,14.58
Expert,Good,Fixed,13.01
Expert,Good,Fixed,8.91
Expert,Good,Fixed,12.21
Expert,Good,Fixed,13.61
Expert,Good,Fixed,13.16
Expert,Good,Fixed,11.7
Expert,Good,Fixed,14.54
Expert,Good,Fixed,13.13
Expert,Good,Fixed,10.56
Expert,Good,None,9.07
Expert,Good,None,26.99
Expert,Good,None,8.76
Expert,Good,None,21.36
Expert,Good,None,15.19
Expert,Good,None,15.33
Expert,Good,None,9.15
Expert,Good,None,4.93
Expert,Good,None,15.95
Expert,Good,None,15.12
Expert,Good,None,12.76
Expert,Good,None,11.82
Expert,Good,None,8.17
Expert,Good,None,5.47
Expert,Good,None,9.73
Expert,Good,None,8.1
Expert,Good,None,17.72
Expert,Good,None,16.78
Expert,Good,None,9.1
Expert,Good,None,9.43
Expert,Good,None,5.74
Expert,Good,None,11.44
Expert,Good,None,14.96
Expert,Good,None,8.68
Expert,Good,None,18.03
Average,Bad,Fixed,4.37
Average,Bad,Fixed,3.58
Average,Bad,Fixed,6.09
Average,Bad,Fixed,4.53
Average,Bad,Fixed,3.55
Average,Bad,Fixed,3.43
Average,Bad,Fixed,8.59
Average,Bad,Fixed,8
Average,Bad,Fixed,7.53
Average,Bad,Fixed,5.7
Average,Bad,Fixed,5.75
Average,Bad,Fixed,4.45
Average,Bad,Fixed,1.02
Average,Bad,Fixed,4.39
Average,Bad,Fixed,3.57
Average,Bad,Fixed,1.96
Average,Bad,Fixed,3.53
Average,Bad,Fixed,2.54
Average,Bad,Fixed,2.81
Average,Bad,Fixed,3.31
Average,Bad,Fixed,8.9
Average,Bad,Fixed,9.17
Average,Bad,Fixed,9.94
Average,Bad,Fixed,1.81
Average,Bad,Fixed,7.74
Average,Bad,None,-0.97
Average,Bad,None,7.11
Average,Bad,None,0.97
Average,Bad,None,1.45
Average,Bad,None,7.84
Average,Bad,None,4.02
Average,Bad,None,9.32
Average,Bad,None,-2.57
Average,Bad,None,8.38
Average,Bad,None,4.37
Average,Bad,None,0.88
Average,Bad,None,4.43
Average,Bad,None,5.24
Average,Bad,None,5.82
Average,Bad,None,0.91
Average,Bad,None,2.71
Average,Bad,None,2.8
Average,Bad,None,2.97
Average,Bad,None,3.23
Average,Bad,None,0.01
Average,Bad,None,4.37
Average,Bad,None,5.89
Average,Bad,None,5.43
Average,Bad,None,10.19
Average,Bad,None,1.19
Average,Neutral,Fixed,6.42
Average,Neutral,Fixed,14.18
Average,Neutral,Fixed,11.86
Average,Neutral,Fixed,9.19
Average,Neutral,Fixed,11.89
Average,Neutral,Fixed,9.62
Average,Neutral,Fixed,6.73
Average,Neutral,Fixed,9.55
Average,Neutral,Fixed,12.68
Average,Neutral,Fixed,4.93
Average,Neutral,Fixed,13.49
Average,Neutral,Fixed,10.16
Average,Neutral,Fixed,11.15
Average,Neutral,Fixed,8.36
Average,Neutral,Fixed,10.06
Average,Neutral,Fixed,7.84
Average,Neutral,Fixed,10.27
Average,Neutral,Fixed,9.21
Average,Neutral,Fixed,10.4
Average,Neutral,Fixed,8.21
Average,Neutral,Fixed,9.25
Average,Neutral,Fixed,13.78
Average,Neutral,Fixed,6.96
Average,Neutral,Fixed,7.18
Average,Neutral,Fixed,11.63
Average,Neutral,None,17.31
Average,Neutral,None,7.56
Average,Neutral,None,2.98
Average,Neutral,None,10.34
Average,Neutral,None,14.42
Average,Neutral,None,1.49
Average,Neutral,None,5.32
Average,Neutral,None,10.43
Average,Neutral,None,5.75
Average,Neutral,None,12.13
Average,Neutral,None,11.65
Average,Neutral,None,16.06
Average,Neutral,None,11.48
Average,Neutral,None,14.71
Average,Neutral,None,10.15
Average,Neutral,None,17.56
Average,Neutral,None,-1
Average,Neutral,None,13.06
Average,Neutral,None,2.95
Average,Neutral,None,12.04
Average,Neutral,None,12.17
Average,Neutral,None,14.12
Average,Neutral,None,4.11
Average,Neutral,None,-4.47
Average,Neutral,None,13.93
Average,Good,Fixed,17.58
Average,Good,Fixed,12.85
Average,Good,Fixed,13.94
Average,Good,Fixed,13.99
Average,Good,Fixed,18.63
Average,Good,Fixed,18.32
Average,Good,Fixed,16.84
Average,Good,Fixed,13.72
Average,Good,Fixed,15.22
Average,Good,Fixed,15.05
Average,Good,Fixed,16.44
Average,Good,Fixed,19.11
Average,Good,Fixed,16.19
Average,Good,Fixed,11.31
Average,Good,Fixed,14.86
Average,Good,Fixed,14.51
Average,Good,Fixed,16.09
Average,Good,Fixed,14.42
Average,Good,Fixed,17.27
Average,Good,Fixed,14.49
Average,Good,Fixed,16.25
Average,Good,Fixed,17.27
Average,Good,Fixed,18.69
Average,Good,Fixed,15.71
Average,Good,Fixed,16.24
Average,Good,None,13.06
Average,Good,None,9.51
Average,Good,None,-0.36
Average,Good,None,16.33
Average,Good,None,14.89
Average,Good,None,6.39
Average,Good,None,9.52
Average,Good,None,22.48
Average,Good,None,-1.61
Average,Good,None,19.15
Average,Good,None,6.94
Average,Good,None,15.55
Average,Good,None,19.45
Average,Good,None,9.55
Average,Good,None,15.71
Average,Good,None,11.42
Average,Good,None,6.66
Average,Good,None,14.68
Average,Good,None,14.36
Average,Good,None,16.31
Average,Good,None,19.24
Average,Good,None,13.55
Average,Good,None,16.69
Average,Good,None,-0.1
Average,Good,None,1.38
